Date,Open,High,Low,Close,Adj Close,Volume,EMA_20,EMA_100,signal,position,trade,asset_return,strategy_gross_return,cost,strategy_net_return,buy_and_hold_equity,strategy_equity
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,
2024-05-31,191.44000244140625,192.57000732421875,189.91000366210938,192.25,190.77456665039062,75158300,186.7416241818118,180.56172232790777,1,1.0,0.0,0.005018593484036549,0.005018593484036549,0.0,0.005018593484036549,70337.509111938,24546.9198630154
2024-06-03,192.89999389648438,194.99000549316406,192.52000427246094,194.02999877929688,192.54086303710938,50080500,187.43575509585798,180.82842087149962,1,1.0,0.0,0.009258771283728873,0.009258771283728873,0.0,0.009258771283728873,70988.74802147262,24774.19417974708
2024-06-04,194.63999938964844,195.32000732421875,193.02999877929688,194.35000610351562,192.8584442138672,47471400,188.09425519182537,181.09617503450983,1,1.0,0.0,0.0016492672588364066,0.0016492672588364066,0.0,0.0016492672588364066,71105.82743933023,24815.05344707179
2024-06-05,195.39999389648438,196.89999389648438,194.8699951171875,195.8699951171875,194.36676025390625,54156800,188.83480185138367,181.38872592723612,1,1.0,0.0,0.007820884826019947,0.007820884826019947,0.0,0.007820884826019947,71661.93792619207,25009.129122032868
2024-06-06,195.69000244140625,196.5,194.1699981689453,194.47999572753906,192.9874267578125,41181800,189.37243936339848,181.64795899258866,1,1.0,0.0,-0.007096540686677422,-0.007096540686677422,0.0,-0.007096540686677422,71153.3860680127,24831.65081967999
2024-06-07,194.64999389648438,196.94000244140625,194.13999938964844,196.88999938964844,195.37892150878906,53103900,190.0883974611366,181.94978157470865,1,1.0,0.0,0.012392038847459208,0.012392038847459208,0.0,0.012392038847459208,72035.12159229578,25139.365601284007
2024-06-10,196.89999389648438,197.3000030517578,192.14999389648438,193.1199951171875,191.6378631591797,97010200,190.37712104742718,182.17097392208447,1,1.0,0.0,-0.019147769232301326,-0.019147769232301326,0.0,-0.019147769232301326,70655.80970742574,24658.002830104168
2024-06-11,193.64999389648438,207.16000366210938,193.6300048828125,207.14999389648438,205.5601806640625,172373300,191.97453750924217,182.66560798098348,1,1.0,0.0,0.07264912559045644,0.07264912559045644,0.0,0.07264912559045644,75788.8925005559,26449.385174518233
2024-06-12,207.3699951171875,220.1999969482422,206.89999389648438,213.07000732421875,211.4347686767578,198134300,193.9836298725733,183.2676752947109,1,1.0,0.0,0.02857839054869915,0.02857839054869915,0.0,0.02857839054869915,77954.81706969017,27205.26603380859
2024-06-13,214.74000549316406,216.75,211.60000610351562,214.24000549316406,212.59579467773438,97862700,195.91280850310574,183.88098876398718,1,1.0,0.0,0.005491144359726752,0.005491144359726752,0.0,0.005491144359726752,78382.87822375592,27354.654076945004
